         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
Bet Hyi            6.4379166-77.25416666 2.80G2+2.215+0.324
Alp Phe            6.5708333-42.30611111 2.39K0+0.203-0.396
Kap Phe            6.5508333-43.68000000 3.94A7+0.109+0.029
10 Cet             6.6558333 -4.97222222 6.19G8+0.073-0.001
SAO66282           6.8112500-25.54722222 5.98G8+0.036-0.019
47 Psc             7.0120833+17.89305555 5.06M3+0.117+0.021
SAO36390           7.0570833+44.39444444 5.17A2+0.089-0.016
Eta Scl            6.9820833-33.00722222 4.81M4-0.019-0.052
48 Psc             7.0529166+16.44500000 6.06K5+0.019-0.015
SAO09224           7.0837500+10.18972222 6.04F6+0.046-0.207
SAO66296           7.0879166-20.33500000 6.43G0-0.116-0.114
SAO15103           7.1100000-39.91500000 5.43M0+0.130-0.036
SAO53928           7.2358333+36.90000000 6.26G5-0.011+0.003
SAO32055           7.1795833-50.53277777 6.26K0+0.150-0.002
SAO4130            7.7291666+77.01944444 6.21K0+0.337-0.038
SAO21457           7.5829166+59.97722222 5.94B9+0.017-0.012
28 And             7.5304166+29.75166666 5.23A7+0.041-0.054
SAO47307           7.4662500-14.86416666 6.14F2+0.144-0.032
SAO92567           7.4537500-32.11666666 6.57K4-0.004-0.054
12 Cet             7.5100000 -3.95722222 5.72M0+0.011-0.012
SAO66318           7.5945833-23.78777777 5.19A5-0.024+0.013
SAO15120           7.6158333-40.93944444 6.19F2-0.001+0.021
SAO15119           7.6087500-48.21500000 5.69F2+0.129-0.088
13 Cas             7.8554166+66.51944444 6.18B6+0.023-0.006
SAO53956           7.8566666+33.58166666 5.87K1+0.047-0.019
14Lam Cas          7.9433333+54.52222222 4.73B8+0.045-0.010
SAO21486           7.9216666+52.83944444 5.60K2-0.053-0.019
Lam1Phe            7.8541666-48.80361111 4.77A0+0.143+0.017
Bet1Tuc            7.8862500-62.95805555 4.37B9+0.090-0.054
Bet2Tuc            7.8900000-62.96583333 4.54A2+0.101-0.056
SAO36453           8.1116666+43.49472222 6.70A1+0.018-0.010
SAO4142            8.3304166+70.98166666 6.42A0+0.028-0.004
15Kap Cas          8.2500000+62.93166666 4.16B1+0.003-0.003
52 Psc             8.1479166+20.29444444 5.38K0+0.135-0.047
51 Psc             8.0991666 +6.95555555 5.67B9+0.035+0.002
SAO74083           8.1437500+27.58055555 6.67A2-0.017-0.015
SAO74090           8.2045833+28.28027777 6.30K0-0.006+0.007
SAO21512           8.2933333+54.89500000 5.93K0+0.071-0.042
Bet3Tuc            8.1825000-63.03111111 5.09A0+0.081-0.038
16 Cas             8.6037500+66.75027777 6.48B9+0.021 0.000
SAO66367           8.4212500-29.55833333 5.55K2-0.026-0.030
The Tuc            8.3470833-71.26611111 6.13A7+0.067-0.012
SAO32091           8.6158333-52.37305555 5.57F3+0.230+0.032
SAO91980           8.7304166+13.37111111 6.40K0-0.090-0.057
13 Cet             8.8120833 -3.59277777 5.20F8+0.413-0.026
14 Cet             8.8866666 -0.50555555 5.93F5+0.146-0.066
SAO21551           9.0345833+54.16861111 5.08B7+0.022 0.000
SAO91990           8.9779166+13.20666666 6.41F7-0.143-0.189
SAO11291           9.1137500+60.32611111 5.79A4-0.001-0.003
Lam2Phe            8.9212500-48.00083333 5.51F6+0.045-0.104
SAO32099           8.8891666-54.82194444 6.06K0+0.027-0.054
SAO74136           9.0833333+27.25472222 6.50B8+0.011-0.016
SAO47360           9.0125000-14.97361111 6.45G9-0.083-0.079
SAO66400           9.0287500-22.84250000 6.06A6-0.072-0.052
SAO36509           9.1941666+44.48861111 5.13K5-0.023+0.033
17Zet Cas          9.2429166+53.89694444 3.66B2+0.019-0.009
29Pi And           9.2204166+33.71944444 4.36B5+0.015-0.004
53 Psc             9.1970833+15.23166666 5.89B2+0.002-0.015
SAO74148           9.2800000+24.01416666 6.47K2-0.014-0.044
SAO54038           9.3379166+35.39944444 5.48G2-0.016-0.005
SAO106             9.9470833+82.49388888 6.40F6-0.111+0.078
SAO66418           9.3362500-24.76722222 5.57G8+1.390-0.012
SAO48225           9.1558333-65.12472222 6.42K2+0.029-0.020
SAO09315           9.3770833 +3.13527777 6.39K4+0.095-0.061
SAO32114           9.3254166-54.39416666 6.41K0+0.056-0.021
30Eps And          9.6387500+29.31166666 4.37G6-0.227-0.254
SAO36550           9.7912500+49.35444444 5.43K7+0.008-0.011
31Del And          9.8320833+30.86083333 3.27K3+0.136-0.091
54 Psc             9.8408333+21.25055555 5.87K0-0.464-0.370
55 Psc             9.9816666+21.43833333 5.36K0+0.028-0.035
18Alp Cas         10.1270833+56.53722222 2.23K0+0.053-0.032
